3.502322 2.50028 3.678433 4.05391 2.69861
7.542481 4.429116 2.985344 2.57878 1.411543
4.737875 1.626216 3.321868 1.67707 2.41314
3.525853 2.735439 1.126352 4.876427 2.355204
3.800414 3.510784 5.990068 9.235953 3.126464
2.140103 2.924816 2.718761 2.196384 3.415909
7.333773 4.600217 5.783648 5.690908 4.324631
4.958897 2.740347 1.437904 1.816612 3.19759
4.897638 2.150594 3.102225 3.384592 2.667655
7.70687 2.181126 3.888901 3.580631 2.032009
6.268151 4.991951 4.798039 1.76739 11.42316
2.360697 6.03645 5.504894 4.862732 4.75563
5.631037 3.287973 1.457715 2.521209 2.104051
1.615685 2.629255 3.124216 2.077397 2.343817
4.036211 2.436721 2.217144 4.377847 1.144496
5.588296 3.714614 4.886407 8.032639 3.829219
2.982871 4.406316 1.230259 2.804169 4.251439
3.823562 1.757443 2.984926 2.302527 4.66519
4.115175 1.933074 4.099816 6.606709 4.468476
5.520856 9.339452 5.781904 4.187966 3.030179
